"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",7,8,2,3,35,,
"2019-01-02 00:00:00",9,11,0,3,42,,
"2019-01-03 00:00:00",10,11,4,0,50,,
"2019-01-04 00:00:00",9,12,2,2,41,,
"2019-01-05 00:00:00",11,13,4,1,33,,
"2019-01-06 00:00:00",5,16,2,1,35,,
"2019-01-07 00:00:00",11,7,4,1,56,65.85714285714286,
"2019-01-08 00:00:00",8,10,5,1,31,65.85714285714286,
"2019-01-09 00:00:00",8,9,4,2,25,63.42857142857143,
"2019-01-10 00:00:00",9,12,5,3,39,62.42857142857143,
"2019-01-11 00:00:00",9,11,2,2,42,62.42857142857143,
"2019-01-12 00:00:00",6,10,7,0,39,62.42857142857143,
"2019-01-13 00:00:00",7,13,1,1,26,60.857142857142854,
"2019-01-14 00:00:00",9,6,4,5,31,57.42857142857143,
"2019-01-15 00:00:00",13,7,3,3,30,57.57142857142857,
"2019-01-16 00:00:00",9,17,7,1,40,61.285714285714285,
"2019-01-17 00:00:00",6,9,1,0,39,59.42857142857143,
"2019-01-18 00:00:00",10,8,1,1,38,58.285714285714285,
"2019-01-19 00:00:00",6,7,4,4,34,57.285714285714285,
"2019-01-20 00:00:00",10,11,4,2,47,61,
"2019-01-21 00:00:00",6,9,6,3,38,62,
"2019-01-22 00:00:00",7,12,3,3,38,63,
"2019-01-23 00:00:00",6,11,0,1,44,61.285714285714285,
"2019-01-24 00:00:00",7,7,2,0,34,60.57142857142857,
"2019-01-25 00:00:00",9,7,4,0,34,60,
"2019-01-26 00:00:00",11,11,4,2,50,63.285714285714285,
"2019-01-27 00:00:00",7,12,3,0,38,61.285714285714285,
"2019-01-28 00:00:00",14,16,4,3,43,63.857142857142854,
"2019-01-29 00:00:00",10,7,3,1,34,62.714285714285715,
"2019-01-30 00:00:00",7,11,3,2,36,62.285714285714285,
"2019-01-31 00:00:00",7,10,6,2,32,63.285714285714285,
"2019-02-01 00:00:00",7,8,1,0,45,64.28571428571429,
"2019-02-02 00:00:00",11,2,4,2,31,60.285714285714285,
"2019-02-03 00:00:00",7,9,5,2,37,60.285714285714285,
"2019-02-04 00:00:00",7,10,2,0,37,56.857142857142854,
"2019-02-05 00:00:00",8,16,2,3,31,57.57142857142857,
"2019-02-06 00:00:00",10,15,4,0,33,58,
"2019-02-07 00:00:00",7,11,2,5,36,58.57142857142857,
"2019-02-08 00:00:00",10,10,3,0,41,59,
"2019-02-09 00:00:00",5,9,4,0,43,60.57142857142857,
"2019-02-10 00:00:00",8,10,5,0,45,61.714285714285715,
"2019-02-11 00:00:00",7,6,2,2,27,60,
"2019-02-12 00:00:00",10,9,2,2,34,59.57142857142857,
"2019-02-13 00:00:00",7,16,1,1,28,58.285714285714285,
"2019-02-14 00:00:00",11,13,6,2,38,59.57142857142857,
"2019-02-15 00:00:00",8,12,3,1,43,60,
"2019-02-16 00:00:00",9,16,4,0,41,61.285714285714285,
"2019-02-17 00:00:00",7,14,2,3,40,61,
"2019-02-18 00:00:00",10,15,3,0,47,65.42857142857143,
"2019-02-19 00:00:00",9,13,6,4,33,66.57142857142857,
"2019-02-20 00:00:00",7,16,5,0,51,70.28571428571429,
"2019-02-21 00:00:00",8,15,3,2,40,70,
"2019-02-22 00:00:00",14,17,2,1,44,71.57142857142857,
"2019-02-23 00:00:00",11,12,5,1,50,72.85714285714286,
"2019-02-24 00:00:00",13,14,3,3,44,74.42857142857143,
"2019-02-25 00:00:00",10,18,3,1,43,74.42857142857143,
"2019-02-26 00:00:00",12,8,5,1,29,73,
"2019-02-27 00:00:00",5,17,1,1,36,70.28571428571429,
"2019-02-28 00:00:00",11,13,1,4,41,70.57142857142857,
"2019-03-01 00:00:00",7,9,3,3,50,69.71428571428571,
"2019-03-02 00:00:00",11,9,1,1,35,66.57142857142857,
"2019-03-03 00:00:00",8,9,1,3,47,65.28571428571429,
"2019-03-04 00:00:00",6,15,3,0,46,64.57142857142857,
"2019-03-05 00:00:00",8,13,1,1,41,65.85714285714286,
"2019-03-06 00:00:00",12,12,8,2,52,69.57142857142857,
"2019-03-07 00:00:00",8,17,2,1,43,69.71428571428571,
"2019-03-08 00:00:00",5,17,5,2,46,70.14285714285714,
"2019-03-09 00:00:00",16,8,4,1,46,72.71428571428571,
"2019-03-10 00:00:00",5,6,1,2,36,70.14285714285714,
"2019-03-11 00:00:00",4,11,3,2,25,66.57142857142857,
"2019-03-12 00:00:00",11,6,0,1,39,65.57142857142857,
"2019-03-13 00:00:00",9,17,4,0,41,63.42857142857143,
"2019-03-14 00:00:00",8,17,3,3,38,63.142857142857146,
"2019-03-15 00:00:00",6,11,4,2,36,60.857142857142854,
"2019-03-16 00:00:00",13,9,2,1,36,58.857142857142854,
"2019-03-17 00:00:00",7,11,4,2,41,61,
"2019-03-18 00:00:00",11,6,1,1,47,64,
"2019-03-19 00:00:00",16,15,3,2,44,67.28571428571429,
"2019-03-20 00:00:00",7,12,5,2,43,67,
"2019-03-21 00:00:00",6,19,5,1,46,68.14285714285714,
"2019-03-22 00:00:00",6,9,1,1,41,68,
"2019-03-23 00:00:00",12,11,4,2,30,67.71428571428571,
"2019-03-24 00:00:00",10,10,4,2,40,67.85714285714286,
"2019-03-25 00:00:00",11,7,2,0,30,65.57142857142857,
"2019-03-26 00:00:00",8,14,1,2,33,62.42857142857143,
"2019-03-27 00:00:00",8,7,4,4,39,61.42857142857143,
"2019-03-28 00:00:00",13,15,2,0,49,61.714285714285715,
"2019-03-29 00:00:00",11,21,5,2,48,65.85714285714286,
"2019-03-30 00:00:00",16,13,6,0,71,72.57142857142857,
"2019-03-31 00:00:00",10,12,6,2,41,73.28571428571429,
"2019-04-01 00:00:00",10,11,1,2,43,75.71428571428571,
"2019-04-02 00:00:00",11,11,4,2,30,75.71428571428571,
"2019-04-03 00:00:00",10,16,1,3,37,76.42857142857143,
"2019-04-04 00:00:00",3,9,1,3,38,72.85714285714286,
"2019-04-05 00:00:00",12,21,4,1,51,73.14285714285714,
"2019-04-06 00:00:00",11,14,1,2,51,69.28571428571429,
"2019-04-07 00:00:00",10,9,2,1,44,68.57142857142857,
"2019-04-08 00:00:00",7,12,7,1,49,69.85714285714286,
"2019-04-09 00:00:00",7,18,3,6,59,74.85714285714286,
"2019-04-10 00:00:00",8,15,3,0,34,73.85714285714286,
"2019-04-11 00:00:00",13,9,3,0,40,75.42857142857143,
"2019-04-12 00:00:00",3,17,4,1,49,73.28571428571429,
"2019-04-13 00:00:00",13,8,3,3,42,71.85714285714286,
"2019-04-14 00:00:00",9,11,3,2,35,71,
"2019-04-15 00:00:00",6,18,3,2,46,70.85714285714286,
"2019-04-16 00:00:00",14,11,4,1,50,69,
"2019-04-17 00:00:00",10,17,4,3,48,72.14285714285714,
"2019-04-18 00:00:00",14,23,4,2,59,77.42857142857143,
"2019-04-19 00:00:00",10,14,4,1,62,79.85714285714286,
"2019-04-20 00:00:00",15,17,4,2,59,83.85714285714286,
"2019-04-21 00:00:00",17,17,4,4,47,88,
"2019-04-22 00:00:00",19,19,0,2,40,88.71428571428571,
"2019-04-23 00:00:00",8,18,3,2,41,87.57142857142857,
"2019-04-24 00:00:00",11,7,2,1,45,85.28571428571429,
"2019-04-25 00:00:00",13,15,0,2,39,80.57142857142857,
"2019-04-26 00:00:00",11,11,1,0,41,76.71428571428571,
"2019-04-27 00:00:00",12,16,6,3,60,76.71428571428571,
"2019-04-28 00:00:00",15,16,5,1,40,75,
"2019-04-29 00:00:00",14,18,6,4,54,77.28571428571429,
"2019-04-30 00:00:00",9,14,6,1,43,77.42857142857143,
"2019-05-01 00:00:00",10,20,2,1,52,80.14285714285714,
"2019-05-02 00:00:00",12,15,7,2,65,84.71428571428571,
